DAY_KEY,FULL_DATE,DAY_OF_WEEK_NUMBER,DAY_OF_WEEK_NAME,MONTH_NUMBER,MONTH_NAME,YEAR,WEEK_IN_YEAR,DAY_IN_MONTH,WEEKDAY_FLAG
1,1/1/2010,6,Friday,1,January,2010,1,1,TRUE
2,1/2/2010,7,Saturday,1,January,2010,1,2,FALSE
3,1/3/2010,1,Sunday,1,January,2010,2,3,FALSE
4,1/4/2010,2,Monday,1,January,2010,2,4,TRUE
5,1/5/2010,3,Tuesday,1,January,2010,2,5,TRUE
6,1/6/2010,4,Wednesday,1,January,2010,2,6,TRUE
7,1/7/2010,5,Thursday,1,January,2010,2,7,TRUE
8,1/8/2010,6,Friday,1,January,2010,2,8,TRUE
9,1/9/2010,7,Saturday,1,January,2010,2,9,FALSE
10,1/10/2010,1,Sunday,1,January,2010,3,10,FALSE
11,1/11/2010,2,Monday,1,January,2010,3,11,TRUE
12,1/12/2010,3,Tuesday,1,January,2010,3,12,TRUE
13,1/13/2010,4,Wednesday,1,January,2010,3,13,TRUE
14,1/14/2010,5,Thursday,1,January,2010,3,14,TRUE
15,1/15/2010,6,Friday,1,January,2010,3,15,TRUE
16,1/16/2010,7,Saturday,1,January,2010,3,16,FALSE
17,1/17/2010,1,Sunday,1,January,2010,4,17,FALSE
18,1/18/2010,2,Monday,1,January,2010,4,18,TRUE
19,1/19/2010,3,Tuesday,1,January,2010,4,19,TRUE
20,1/20/2010,4,Wednesday,1,January,2010,4,20,TRUE
21,1/21/2010,5,Thursday,1,January,2010,4,21,TRUE
22,1/22/2010,6,Friday,1,January,2010,4,22,TRUE
23,1/23/2010,7,Saturday,1,January,2010,4,23,FALSE
24,1/24/2010,1,Sunday,1,January,2010,5,24,FALSE
25,1/25/2010,2,Monday,1,January,2010,5,25,TRUE
26,1/26/2010,3,Tuesday,1,January,2010,5,26,TRUE
27,1/27/2010,4,Wednesday,1,January,2010,5,27,TRUE
28,1/28/2010,5,Thursday,1,January,2010,5,28,TRUE
29,1/29/2010,6,Friday,1,January,2010,5,29,TRUE
30,1/30/2010,7,Saturday,1,January,2010,5,30,FALSE
31,1/31/2010,1,Sunday,1,January,2010,6,31,FALSE
32,2/1/2010,2,Monday,2,February,2010,6,1,TRUE
33,2/2/2010,3,Tuesday,2,February,2010,6,2,TRUE
34,2/3/2010,4,Wednesday,2,February,2010,6,3,TRUE
35,2/4/2010,5,Thursday,2,February,2010,6,4,TRUE
36,2/5/2010,6,Friday,2,February,2010,6,5,TRUE
