DAY_KEY,CUSTOMER_KEY,ORDER_ID,PRODUCT_KEY,QUANTITY_ORDERED,ORDER_DOLLARS,ORDER_COST
1,166,123456,23,3,527.76,501.36
1,166,123456,67,2,348.08,309.78
1,166,123456,38,5,6.3,5.25
1,166,123456,60,1,73.1,70.17
1,166,123456,32,2,3.14,2.98
1,166,123456,61,1,1.09,0.83
1,166,123456,81,3,32.88,29.25
1,166,123456,70,1,2.39,2.15
1,166,123456,27,1,31.81,26.08
1,166,123456,26,1,68.86,62.66
1,166,123456,78,1,219.45,162.39
1,166,123456,71,5,75.3,55.7
1,166,123456,49,2,15.2,11.54
1,166,123456,8,1,198.43,164.69
1,166,123456,29,2,6.12,4.28
1,287,123490,80,3,421.59,387.84
1,287,123490,1,1,98.5,96.53
1,287,123490,56,1,1.1,0.93
1,287,123490,65,5,22.85,17.8
1,287,123490,12,2,3.5,2.96
1,287,123490,44,4,75.64,60.48
2,180,124430,47,2,42.44,34.36
2,180,124430,40,2,63.62,48.34
2,180,124430,82,2,21.92,19.5
3,231,125257,38,2,2.52,2.1
3,231,125257,30,3,320.97,227.88
3,231,125257,6,2,100.64,93.58
3,231,125257,77,4,73.4,65.32
3,231,125257,47,2,42.44,34.36
3,231,125257,75,2,496.36,461.6
3,231,125257,65,4,18.28,14.24
3,231,125257,56,1,1.1,0.93
3,231,125257,81,2,21.92,19.5
3,231,125257,72,4,173.12,162.72
3,231,125257,79,4,971.6,767.56
3,231,125257,43,1,5.35,4.86
3,231,125257,18,1,2.94,2.67
3,231,125257,42,5,185.05,129.5
3,231,125257,7,1,36.64,30.41
3,231,125257,10,4,211.08,149.84
3,231,125257,22,2,7.14,6.56
3,231,125257,8,2,396.86,329.38
3,286,126206,4,1,2.4,1.82
3,286,126206,55,2,8.36,7.94
3,286,126206,6,2,100.64,93.58
3,286,126206,61,2,2.18,1.66
3,286,126206,45,1,6.84,4.99
3,286,126206,35,2,271.72,222.8
3,286,126206,76,2,111.6,80.34
3,286,126206,75,1,248.18,230.8
3,286,126206,21,3,39.39,38.19
3,286,126206,67,1,174.04,154.89
3,286,126206,5,2,359.04,308.76
3,38,126848,17,4,127.84,109.92
3,38,126848,76,1,55.8,40.17
