PRODUCT_KEY,PRODUCT,BRAND,CATEGORY,PRICE,COST
1,ackamarackus,Funai,Tchotchkes,98.5,96.53
2,baboonery,Kenwood,Stuff,71.16,64.04
3,balderdash,Woobly,Machines,21.55,15.94
4,ballyhoo,Humax,Things,2.4,1.82
5,baloney,Tonka,Tchotchkes,179.52,154.38
6,bambosh,Tonka,Stuff,50.32,46.79
7,bilge,Kenwood,Objects,36.64,30.41
8,blague,Yahoo,Stuff,198.43,164.69
9,blague,Sherwood,Gizmos,1.19,1.04
10,blarney,Xohm,Tchotchkes,52.77,37.46
11,bletherskate,Intex,Objects,9.69,7.17
12,brimborion,Funai,Gizmos,1.75,1.48
13,bugaboo,Nikon,Articles,49.11,41.74
14,buncombe,Pioneer,Doodads,245.41,220.86
15,bunk,Xohm,Stuff,23.37,22.9
16,bushwa,Kenwood,Things,60.83,51.09
17,cack,Humax,Pieces,31.96,27.48
18,claptrap,Xohm,Tchotchkes,2.94,2.67
19,clatfart,Humax,Articles,79.85,57.49
20,codswallop,Marantz,Gizmos,50.09,37.56
21,effutiation,Breffo,Pieces,13.13,12.73
22,eyewash,Tonka,Stuff,3.57,3.28
23,fadoodle,Intex,Doodads,175.92,167.12
24,falderal,Zenith,Tchotchkes,18.63,17.88
25,fandangle,Xohm,Pieces,130.6,105.78
26,fiddlededee,Zenith,Articles,68.86,62.66
27,fiddle-faddle,Marantz,Gizmos,31.81,26.08
28,flam,Lumigon,Whatchamacallits,13.36,9.88
29,flannel,Onida,Gizmos,3.06,2.14
30,flapdoodle,Jablotron,Articles,106.99,75.96
31,flimflam,Humax,Stuff,3.37,2.69
32,flummadiddle,Breffo,Doodads,1.57,1.49
33,flummery,Xohm,Objects,4.11,3.24
34,fribble,Quest,Gizmos,31.46,23.28
35,fustian,Unicom,Widgets,135.86,111.4
36,galbanum,Denon,Things,42.7,32.45
37,galimatias,Aigo,Objects,5.41,4.43
38,gammon,Breffo,Stuff,1.26,1.05
39,gibberish,Sherwood,Objects,2,1.94
40,grimgribber,Marantz,Machines,31.81,24.17
41,haver,Goji,Things,11.88,9.26
42,hibber-gibber,Denon,Articles,37.01,25.9
43,hogwash,Intex,Things,5.35,4.86
44,hooey,Marantz,Articles,18.91,15.12
45,humbug,Onida,Things,6.84,4.99
46,jabberwock,Emerson,Whatchamacallits,1.08,1
47,jiggery-pokery,Sherwood,Doodads,21.22,17.18
48,kelter,Emerson,Doodads,1.26,1.12
49,kidology,Pioneer,Tchotchkes,7.6,5.77
50,linsey-woolsey,Yahoo,Tchotchkes,210.4,164.11
51,macaroni,Nikon,Objects,1.59,1.49
52,malarkey,Xohm,Machines,16.59,14.59
53,morology,Unicom,Pieces,48.96,47.49
54,mullock,Breffo,Articles,40.15,31.71
55,mumbo-jumbo,Xohm,Objects,4.18,3.97
56,narrischkeit,Celkon,Whatchamacallits,1.1,0.93
57,nugament,Yahoo,Objects,10.65,9.47
58,phonus-bolonus,Zenith,Widgets,74.74,59.04
59,piddle,Woobly,Objects,76.45,72.62
60,pigwash,Kenwood,Tchotchkes,73.1,70.17
61,poppycock,Unicom,Whatchamacallits,1.09,0.83
62,posh,RCA,Objects,3.99,3.71
63,quatsch,Funai,Stuff,17.36,15.62
64,rannygazoo,Marantz,Machines,184.08,139.9
65,razzmatazz,Xohm,Doodads,4.57,3.56
66,rhubarb,Intex,Pieces,79.44,76.26
67,riddle-me-ree,Marantz,Machines,174.04,154.89
68,rottack,Kenwood,Widgets,96.7,81.22
69,schmegeggy,Onida,Gizmos,4.61,3.91
70,shuck,Zenith,Articles,2.39,2.15
71,skittles,Yahoo,Doodads,15.06,11.14
72,slipslop,Aigo,Doodads,43.28,40.68
73,spinach,Yahoo,Widgets,114.87,99.93
74,squit,Sherwood,Widgets,3.36,3.12
75,stultiloquence,Funai,Things,248.18,230.8
76,taradiddle,Lumigon,Doodads,55.8,40.17
77,tarradiddle,Lumigon,Gizmos,18.35,16.33
78,tootle,Unicom,Widgets,219.45,162.39
79,tosh,Zenith,Tchotchkes,242.9,191.89
80,trumpery,Onida,Widgets,140.53,129.28
81,twaddle,Humax,Pieces,10.96,9.75
